sku,name,brand,category,price,sale_price,rating,review_count,in_stock,stock_quantity,store_availability,description,display_size,resolution,processor,ram,storage,battery_life,weight,color,model_number,warranty_years
LAP-003,ThinkPad X1 Carbon Gen 11,Lenovo,laptops,1549.99,1299.99,4.7,1876,true,31,Best Buy|Amazon,Intel Core i7-1365U vPro processor. 16GB LPDDR5 soldered RAM. 14-inch 2.8K OLED display. 15-hour battery. Weighs only 1.12kg. MIL-SPEC 810H durability. ThinkShield enterprise security. Best business travel laptop.,14.0,2880x1800 OLED,Intel Core i7-1365U,16GB LPDDR5,512GB SSD,15hrs,1.12kg,Black,21HM002FUS,3
LAP-004,ROG Zephyrus G14 2024,ASUS,laptops,1449.99,1299.99,4.6,987,true,17,Best Buy|Amazon,AMD Ryzen 9 8945HS with NVIDIA RTX 4060 8GB. 14-inch QHD+ 165Hz IPS display. 32GB DDR5 with 1TB SSD. AniMe Matrix LED lid panel. 76Wh battery. Best compact gaming and content creation laptop.,14.0,2560x1600 IPS,AMD Ryzen 9 8945HS,32GB DDR5,1TB SSD,10hrs,1.65kg,Eclipse Gray,GA403UV-DS74,1
LAP-005,Chromebook Plus 515,Acer,laptops,399.99,349.99,4.2,743,true,68,Best Buy|Target|Walmart,Intel Core i3-1215U processor. 8GB RAM with 128GB eMMC SSD. 15.6-inch Full HD IPS touchscreen. 10-hour battery. Google AI writing and photo editing features built in. ChromeOS with Android app support. Best budget laptop for students.,15.6,1920x1080 IPS,Intel Core i3-1215U,8GB,128GB SSD,10hrs,1.79kg,Steel Gray,CB515-2HT-38CD,1
HP-001,WH-1000XM5 Wireless Noise Canceling,Sony,headphones,349.99,279.99,4.8,8743,true,87,Best Buy|Target|Amazon,Industry-leading noise canceling with 8 microphones and QN2e processor. 30-hour battery with quick charge. Multipoint connection for two devices. Ultra-light 250g design. USB-C charging. Foldable for travel. Crystal clear call quality.,,,,,,,250g,Black,WH1000XM5/B,1
HP-002,QuietComfort 45 Wireless,Bose,headphones,329.99,199.00,4.6,6521,true,112,Best Buy|Target|Amazon,Bose TriPort acoustic architecture for balanced sound. 24-hour battery with 15-minute quick charge. Aware Mode with ActiveSense for safe hearing outdoors. USB-C charging. Multipoint pairing. Supremely comfortable memory foam earcups.,,,,,,,238g,Black,866724-0100,1
HP-003,Momentum 4 Wireless,Sennheiser,headphones,349.99,279.99,4.7,2341,true,43,Best Buy|B&H|Amazon,Industry-leading 60-hour battery life. Adaptive noise cancellation. Customizable EQ and sound personalization via Smart Control app. Premium vegan leather construction. Foldable design. Best audiophile wireless headphones.,,,,,,,293g,Black,509266,2
HP-004,Evolve2 85 Business Headset,Jabra,headphones,449.99,349.99,4.7,1432,true,28,Best Buy|Amazon,37-hour battery with 10-microphone call technology. Professional-grade ANC rated for open offices. UC and Microsoft Teams certified. Kevlar reinforced cable. Comes with USB-A and USB-C Link 380 dongle. Best enterprise wireless headset.,,,,,,,340g,Black,29403-999-999,2
HP-005,Soundcore Q45 Wireless,Anker,headphones,79.99,59.99,4.3,4321,true,156,Best Buy|Target|Walmart,40-hour battery with hybrid active noise cancellation. Hi-Res Audio certified. Foldable design with carrying case. App support for EQ customization. Multipoint connection. Best budget noise canceling headphones under $80.,,,,,,,253g,Black,A3040011,1
PHN-001,iPhone 15 Pro 256GB,Apple,phones,999.00,,4.8,12432,true,67,Best Buy|Target|Amazon,A17 Pro chip with 6-core GPU. Titanium frame with textured matte glass back. Action Button customizable shortcut. 48MP main camera with 5x optical zoom on 6.1-inch model. USB-C with Thunderbolt 3 speeds. ProMotion always-on display.,6.1,2556x1179 Super Retina XDR,Apple A17 Pro,8GB,256GB,23hrs,187g,Black Titanium,MTVA3LL/A,1
PHN-002,Galaxy S24 Ultra 256GB,Samsung,phones,1299.99,1099.99,4.7,8764,true,43,Best Buy|Target|Amazon,Snapdragon 8 Gen 3 with titanium frame. Built-in S Pen stylus for note-taking and drawing. 200MP main camera with 100x Space Zoom. 5000mAh battery with 45W fast charging. 7 years of OS and security updates.,6.8,3088x1440 Dynamic AMOLED,Snapdragon 8 Gen 3,12GB,256GB,27hrs,232g,Titanium Black,SM-S928UZKAXAA,1
PHN-003,Pixel 8 Pro 128GB,Google,phones,999.00,799.99,4.6,5432,true,38,Best Buy|Target|Amazon,Google Tensor G3 chip with dedicated security core. 50MP wide plus 48MP ultrawide plus 48MP telephoto camera array. 7 years of guaranteed OS updates. Built-in temperature sensor. Magic Eraser Best Take and Call Screen AI features.,6.7,2992x1344 LTPO OLED,Google Tensor G3,12GB,128GB,24hrs,213g,Obsidian,GA04834-US,7
PHN-004,OnePlus 12 256GB,OnePlus,phones,799.99,699.99,4.5,2341,true,54,Best Buy|Amazon,Snapdragon 8 Gen 3 with Hasselblad-tuned triple camera system. 50MP main camera with f/1.6 aperture. 100W SUPERVOOC wired and 50W AIRVOOC wireless charging. 5400mAh battery charges from 0 to 100 in 26 minutes. Classic Alert Slider.,6.82,3168x1440 LTPO AMOLED,Snapdragon 8 Gen 3,12GB,256GB,24hrs,220g,Silky Black,5011104039,1
PHN-005,iPhone 15 128GB,Apple,phones,699.00,,4.7,9876,true,89,Best Buy|Target|Walmart,A16 Bionic chip. USB-C replacing Lightning for universal compatibility. Dynamic Island notification system. 48MP main camera with 2x telephoto. Ceramic Shield front glass. Emergency SOS via satellite. Best value iPhone.,6.1,2556x1179 Super Retina XDR,Apple A16 Bionic,6GB,128GB,20hrs,171g,Black,MTLJ3LL/A,1
MON-001,UltraSharp U2723QE 27" 4K USB-C,Dell,monitors,649.99,549.99,4.8,3241,true,29,Best Buy|B&H|Amazon,IPS Black panel technology with 2000:1 contrast ratio. 100% sRGB and 98% DCI-P3 color coverage. USB-C with 90W power delivery charges your laptop. Built-in KVM switch controls two computers with one keyboard and mouse. Ethernet hub included.,27.0,3840x2160 IPS Black,,,,,6.19kg,Black,DELL-U2723QE,3
MON-002,Odyssey OLED G9 49" Curved,Samsung,monitors,1499.99,1099.99,4.6,1432,true,14,Best Buy|Amazon,49-inch ultrawide curved OLED panel with infinite contrast. Dual QHD 5120x1440 resolution at 240Hz refresh rate. 0.03ms response time. DisplayHDR True Black 400 certification. Tizen gaming hub with cloud gaming support.,49.0,5120x1440 OLED,,,,,16.6kg,Matte Black,LS49CG954SNXZA,1
MON-003,27GP950-B UltraGear 4K 144Hz,LG,monitors,599.99,449.99,4.7,2187,true,36,Best Buy|Amazon,27-inch Nano IPS panel with 144Hz 4K refresh rate overclockable to 160Hz. 1ms GtG response time. HDMI 2.1 for console gaming. NVIDIA G-Sync compatible and AMD FreeSync Premium Pro. USB-C connectivity.,27.0,3840x2160 Nano IPS,,,,,6.2kg,Black,27GP950-B,1
MON-004,ProArt PA279CRV 27" 4K,ASUS,monitors,449.99,399.99,4.7,987,true,22,Best Buy|B&H,100% sRGB and 100% Rec.709 color space coverage. Factory calibrated with Delta E below 2. USB-C with 96W power delivery and daisy chain support. ASUS ProArt Calibration technology. Full ergonomic adjustability including pivot rotation.,27.0,3840x2160 IPS,,,,,7.4kg,Black,PA279CRV,3
MON-005,M27Q X 27" 240Hz QHD,Gigabyte,monitors,399.99,329.99,4.5,1243,true,41,Best Buy|Amazon,IPS panel with 240Hz refresh rate and 1ms response time. 2560x1440 QHD resolution. KVM switch for multi-device control. USB-C connectivity. HDR400 certification. Tilt swivel and height adjustable stand. Best high refresh rate monitor under $400.,27.0,2560x1440 IPS,,,,,5.7kg,Black,M27Q-X,1
TAB-001,iPad Pro 12.9-inch M2 Wi-Fi 256GB,Apple,tablets,1099.00,,4.8,4321,true,33,Best Buy|Target|Amazon,M2 chip with 8-core CPU and 10-core GPU. 12.9-inch Liquid Retina XDR ProMotion 120Hz display. Apple Pencil 2 support with hover detection. Thunderbolt and USB4 port. 12MP front camera with Center Stage. Wi-Fi 6E for ultra-fast wireless.,12.9,2732x2048 Liquid Retina XDR,Apple M2,8GB,256GB,10hrs,682g,Space Gray,MNXR3LL/A,1
TAB-002,Galaxy Tab S9+ 256GB,Samsung,tablets,999.99,799.99,4.6,2341,true,27,Best Buy|Target|Amazon,Snapdragon 8 Gen 2 with vapor cooling. 12.4-inch Dynamic AMOLED 120Hz display. IP68 water and dust resistant. S Pen included for note-taking and drawing. Samsung DeX desktop mode. 10090mAh battery with 45W fast charging.,12.4,2800x1752 Dynamic AMOLED,Snapdragon 8 Gen 2,12GB,256GB,12hrs,581g,Graphite,SM-X810NZAAXAR,1
TAB-003,Pixel Tablet 128GB with Dock,Google,tablets,499.99,399.99,4.4,1543,true,48,Best Buy|Amazon,Google Tensor G2 chip. 11-inch LCD display with nano-texture coating. Charging Speaker Dock transforms it into a smart home hub. Google Cast for wireless streaming. 12-hour battery life. Hub mode controls smart home devices.,11.0,2560x1600 LCD,Google Tensor G2,8GB,128GB,12hrs,493g,Hazel,GA04750-US,3
TAB-004,Tab P12 Pro 256GB,Lenovo,tablets,599.99,499.99,4.3,876,true,34,Best Buy|Amazon,Snapdragon 870 processor. 12.6-inch AMOLED 120Hz display. Precision Pen 3 included with 4096 pressure levels. Quad JBL speakers with Dolby Atmos. 10200mAh battery rated for 15 hours. Side-mounted fingerprint sensor.,12.6,2560x1600 AMOLED,Snapdragon 870,8GB,256GB,15hrs,565g,Storm Grey,ZAB50011US,1
TAB-005,Fire HD 10 Plus 32GB,Amazon,tablets,179.99,139.99,4.4,8743,true,234,Best Buy|Target|Walmart,10.1-inch Full HD display. Octa-core 2.0GHz processor. Wireless charging support. Alexa hands-free built-in. 12-hour battery life. Show Mode for smart display features. Best budget tablet for streaming movies and casual use.,10.1,1920x1200 IPS,Octa-core 2.0GHz,3GB,32GB,12hrs,465g,Slate,B08F6FYN6B,1
SW-001,Apple Watch Series 9 GPS 45mm,Apple,smartwatches,429.00,,4.8,6543,true,54,Best Buy|Target|Amazon,S9 chip enables Double Tap gesture to control watch without touching screen. Precision Finding locates your iPhone. Always-On Retina display. ECG and blood oxygen monitoring. Crash detection and fall detection. 18-hour battery life.,,,,,,,38.7g,Midnight,MRMD3LL/A,1
SW-002,Galaxy Watch 6 Classic 47mm,Samsung,smartwatches,399.99,329.99,4.6,3241,true,43,Best Buy|Target|Amazon,Physical rotating bezel for intuitive navigation. Advanced sleep coaching with sleep score. Body composition analysis using BioActive sensor. Wear OS 4 with Google apps. 40-hour battery. IP68 and 5ATM water resistance.,,,,,,,59g,Black,SM-R960NZKAXAA,1
SW-003,Fenix 7X Sapphire Solar,Garmin,smartwatches,749.99,649.99,4.8,2187,true,21,Best Buy|Amazon,Solar charging lens extends battery life up to 28 days in smartwatch mode. Titanium bezel with sapphire crystal lens. Topographic maps and multi-band GPS. Advanced training metrics including HRV status and Training Readiness. MIL-STD-810 rated.,,,,,,,89g,Carbon Gray,010-02541-10,2
SW-004,Versa 4 Fitness Smartwatch,Fitbit,smartwatches,199.99,149.95,4.3,4321,true,87,Best Buy|Target|Walmart,Built-in GPS tracks outdoor workouts without phone. 6-day battery life. Daily Readiness Score and stress management tools. 40 plus exercise modes with automatic recognition. Google Wallet for contactless payments. Amazon Alexa built-in.,,,,,,,38.4g,Black,FB523BKBK,1
SW-005,Instinct 2S Solar Smartwatch,Garmin,smartwatches,349.99,299.99,4.7,1876,true,38,Best Buy|Amazon,Solar charging panel enables unlimited battery life in solar mode. Rugged fiber-reinforced polymer case. MIL-STD-810 rated for extreme environments. Multi-GNSS satellite systems. Pulse Ox blood oxygen monitoring. 24/7 health and wellness tracking.,,,,,,,52g,Graphite,010-02563-00,2
SPK-001,Era 300 Spatial Audio Speaker,Sonos,speakers,449.99,,4.7,1543,true,27,Best Buy|Target|Amazon,Six-driver array for true spatial audio with Dolby Atmos. Automatically tunes to room acoustics with Trueplay. Wi-Fi and Bluetooth connectivity. Line-in for turntable or other sources. Voice microphone array for hands-free control.,,,,,,,4.73kg,Black,ERA300US1BLK,1
SPK-002,HomePod 2nd Generation,Apple,speakers,299.99,,4.6,3241,true,41,Best Buy|Target|Amazon,S7 chip with room sensing and spatial audio. Automatically adapts sound to room acoustics. Dolby Atmos support. Temperature and humidity sensor for home automation. Matter smart home standard support. Deep Siri and Apple Music integration.,,,,,,,2.3kg,Midnight,MQJ73LL/A,1
SPK-003,Charge 5 Portable Speaker,JBL,speakers,179.99,149.95,4.7,8743,true,134,Best Buy|Target|Walmart,IP67 waterproof and dustproof for outdoor adventures. 20-hour playtime at maximum volume. Built-in USB-A powerbank charges your devices. PartyBoost connects multiple JBL speakers. USB-C charging with speakerphone capability.,,,,,,,960g,Black,JBLCHARGE5BLKAM,1
SPK-004,Beosound A5 Portable Speaker,Bang & Olufsen,speakers,799.00,,4.6,543,true,12,Best Buy|B&H,Aircraft-grade aluminum and solid oak construction. 37-hour battery life with IP65 water and dust resistance. Wi-Fi and Bluetooth 5.1. Spotify Connect AirPlay 2 and Chromecast built-in. Beolink multiroom audio. The finest portable speaker.,,,,,,,2.6kg,Nordic Ice,1321126,2
SPK-005,HW-Q990C Soundbar 11.1.4ch,Samsung,speakers,1499.99,997.99,4.7,2187,true,19,Best Buy|Amazon,11.1.4 channel surround sound with 656 total watts. Dolby Atmos and DTS:X object-based audio. Wireless rear speakers and subwoofer included. SpaceFit Sound Pro automatically calibrates to your room. Q-Symphony syncs with Samsung QLED and Neo QLED TVs.,,,,,,,8.2kg,Black,HW-Q990C/ZA,1
